"","Parameter","Type","Unit","Protocols","Description","Sources","Protocols count"
"13278","position.predicted.status","boolean","","[42]","Is true when the position update has a horizontal position accuracy estimate that is less that the Horizontal Position Accuracy Threshold defined in device configuration","{""42"":[""Message Type 2""]}",1
"13279","position.satellites.visible","number","","[23,826,870]","The number of visible GPS satellites at the time the location was received","{""23"":[""Parameter #SAT#""],""826"":[""Report RTT""],""870"":[""Module 44: GNSS Extended Data""]}",3
"13280","position.source.enum","number","","[435]","Number of position source","{""435"":[""Position info""]}",1
"13281","position.speed.source","string","","[413]","Speed source","{""413"":[""Content Status 2 bit2 of Message Type 0x1041"",""Message Type 0x1051"",""Service Data Event Type 24 of Message Type 0x1051"",""Service Data Event Type 25 of Message Type 0x1051"",""Service Data Event Type 26 of Message Type 0x1051"",""Service Data Event Type 27 of Message Type 0x1051"",""Service Data Event Type 32 of Message Type 0x1051"",""Service Data Event Type 6 of Message Type 0x1051"",""Service Data Event Type 7 of Message Type 0x1051"",""Service Data Event Type 8 of Message Type 0x1051"",""Service Data Event Type 9 of Message Type 0x1051""]}",1
"13282","position.status","string","","[289]","Position status: A - valid, V - invalid, L - last position","{}",1
"13284","power.consumtion","number","Wh/km","[14]","Vehicle power consumtion","{""14"":[""AVL ID 838""]}",1
"13285","power.state.enum","number","","[119]","Power state","{""119"":[""Message Type 0x0001""]}",1
"13286","powertrain.state","number","","[14]","Powertrain state","{""14"":[""AVL ID 820""]}",1
"13287","predicted.remaining.mileage","number","km","[14]","Predicted remaining mileage","{""14"":[""AVL ID 354""]}",1
"13288","processor.enum","number","","[20]","Processor family identifier","{""20"":[""Message Type 9""]}",1
"13289","program.memory","number","","[20]","Size of program memory","{""20"":[""Message Type 9""]}",1
"13290","proximity.duration","number","seconds","[14]","Proximity violation duration","{""14"":[""AVL ID 890""]}",1
"13291","proximity.violation.ident","string","","[14]","IMEI of the device which violates personal space","{""14"":[""AVL ID 875""]}",1
"13292","proximity.violation.mac.address","string","","[14]","MAC address which violates personal space","{""14"":[""AVL ID 875""]}",1
"13293","proximity.violation.reason","number","","[14]","Cause of Proximity violation","{""14"":[""AVL ID 889""]}",1
"13294","proximity.violation.state","number","","[14]","Bitmask describing the causes of proximity violation","{""14"":[""AVL ID 874""]}",1
"13295","pto.drive.engagement.enum","number","","[14]","PTO drive engagement. 0 - No PTO drive is engaged. 1 - At least one PTO drive is engaged, 2 - Error, 3 - Not available","{""14"":[""AVL ID 137""]}",1
"13296","qr.code","string","","[296]","QR code of the device","{}",1
"13297","rear.light.state","number","","[13]","Rear light state: 0 - off, 1 - solid, 2 - blink, 3 - breathing","{""13"":[""Protocol Number 0x98""]}",1
"13298","reboot.reason.bitmask","number","","[287]","Device reboot reason bitmask","{}",1
"13299","recording.status","boolean","","[413]","Recording status","{""413"":[""Content Status bit3 of Message Type 0x1041""]}",1
"13300","recovery.alarm","boolean","","[14]","Recovery alarm","{""14"":[""AVL ID 20012""]}",1
"13301","recovery.mode.status","boolean","","[435]","Recovery Mode On/Off","{""435"":[""Log reasons""]}",1
"13302","refrigerator.alarm.enum","number","","[16]","Refrigerator alarm code","{""16"":[""Tag 0x5B""]}",1
"13303","refrigerator.alarm.type.enum","number","","[16]","Refrigerator alarm type; 0 – no alarm","{""16"":[""Tag 0x5B""]}",1
"13304","refrigerator.defrost.mode.status","boolean","","[16]","Refrigerator zone defrost mode","{""16"":[""Tag 0x5B""]}",1
"13305","refrigerator.din","number","","[16]","Refrigerator digital input data bitmask","{""16"":[""Tag 0x5B""]}",1
"13306","refrigerator.emergency.status","boolean","","[16]","Refrigerator emergency status","{""16"":[""Tag 0x5B""]}",1
"13307","refrigerator.engine.rpm","number","","[16]","Refrigerator engine RPM","{""16"":[""Tag 0x5B""]}",1
"13308","refrigerator.evaporator.temperature","number","celsius","[16]","Evaporator temperature in refrigerator","{""16"":[""Tag 0x5B""]}",1
"13309","refrigerator.injected.air.temperature","number","celsius","[16]","Injected air temperature in refrigerator","{""16"":[""Tag 0x5B""]}",1
"13310","refrigerator.request.failure.count","number","","[16]","Refrigerator request failures count","{""16"":[""Tag 0x5B""]}",1
"13311","refrigerator.return.air.temperature","number","celsius","[5,16]","Return air temperature in refrigerator","{""5"":[""Command ID 0x01 with IO ID 184"",""Command ID 0x44 with IO ID 184""],""16"":[""Tag 0x5B""]}",2
"13312","refrigerator.sensor.temperature","number","celsius","[16]","Refrigerator temperature sensor value","{""16"":[""Tag 0x5B""]}",1
"13313","refrigerator.set.temperature","number","celsius","[5,16]","Set temperature in refrigerator","{""5"":[""Command ID 0x01 with IO ID 186"",""Command ID 0x44 with IO ID 186""],""16"":[""Tag 0x5B""]}",2
"13314","refrigerator.troublecode.enum","number","","[16]","Refrigerator trouble code enum","{""16"":[""Tag 0x5B""]}",1
"13315","relay.status","boolean","","[13,22]","Relay status","{""13"":[""Protocol Number 0x36"",""Protocol Number 0x37"",""Protocol Number 0x38"",""Protocol Number 0x39""]}",2
"13316","remote.lock.status","boolean","","[13]","Remote lock status","{""13"":[""Protocol Number 0x23"",""Protocol Number 0x36""]}",1
"13317","removal.status","boolean","","[410,608]","Removal satus","{""608"":[""Addition data K""]}",2
"13318","rep500.counter.value","number","","[16]","REP-500 electric counter value","{""16"":[""Tag 0x5A""]}",1
"13319","report.interval.time","number","","[289]","Report interval time","{}",1
"13320","report.reason.data","number","","[20]","Additional transmission data","{""20"":[""Message Type 0"",""Module 41""]}",1
"13321","report.timestamp","number","seconds","[235]","Report timestamp","{}",1
"13322","resets.count","number","","[249,425]","Number of resets since power was first applied and maintained","{""249"":[""EID 0x057""],""425"":[""Message type 0x04 with Field ID 21""]}",2
"13323","retransmission.count","number","","[234]","Retransmissions counter. Number of retries for transmitting events when the device does not received an ACK from server","{""234"":[""Report EV""]}",1
"13324","rhumb","string","","[319]","Heading in N,S,E,W notation","{""319"":[""Packet item number 16""]}",1
"13325","right.brake","number","","[296]","Right brake value","{}",1
"13326","right.turn.threshold.status","boolean","","[17]","Right acceleration threshold exceeded status, indexed parameter, index corresponds to the number of threshold","{}",1
"13327","road.image.count","number","","[515]","Number of images from road camera","{""515"":[""Event type 'metadata' of Pub type 'events'""]}",1
"13328","road.video.count","number","","[515]","Number of videos from road camera","{""515"":[""Event type 'metadata' of Pub type 'events'""]}",1
"13329","roll.number","number","","[408]","Roll times","{}",1
"13330","row.logging.status","boolean","","[20]","Row logging status","{""20"":[""Module 30""]}",1
"13331","rsc.rfu.status","boolean","","[17]","RCS/RFU status","{}",1
"13332","rtc.error","boolean","","[410,608]","RTC Error","{""608"":[""Addition data K""]}",2
"13333","safe.shutdown.state","string","","[234]","Safe shutdown state","{""234"":[""Report GTSEI""]}",1
"13334","samples.after.crash","number","","[20]","Number of acceleration samples between crash and next GPS","{""20"":[""Module 35""]}",1
"13335","samples.before.crash","number","","[20]","Number of acceleration aamples between last GPS before crash and crash","{""20"":[""Module 35""]}",1
"13336","sbd.event.enum","number","","[437]","SBD event code","{""437"":[""Information Element 0x02""]}",1
"13337","scan.duration","number","","[287]","Scan duration","{}",1
"13338","scan.previous.duration","number","","[287]","Previous scan duration","{}",1
"13339","scan.start.count","number","","[287]","Number of scans","{}",1
"13340","scan.start.success.count","number","","[287]","Number of successful scans","{}",1
"13341","scooter.firmware.version","string","","[296]","Scooter firmware version","{}",1
"13342","scooter.hardware.version","string","","[296]","Scooter hardware version","{}",1
"13343","script.int32.variable","number","","[249]","A signed int32 script variable that can be set and read within an executing MC-4x script","{""249"":[""EID 0x06D...0x070"",""EID 0x0CC...0x0CF""]}",1
"13344","script.uint32.variable","number","","[249]","An unsigned uint32 script variable that can be set and read within an executing MC-4x script","{""249"":[""EID 0x071...0x074"",""EID 0x0D0...0x0DB""]}",1
"13345","sd.status","boolean","","[13,14]","SD status presence","{""13"":[""Alarm ID 0xC14 of Alarm ID 0x0000...0x0FFF of Extension ID 0xE8 of Message ID 0x0200"",""Alarm ID 0xC15 of Alarm ID 0x0000...0x0FFF of Extension ID 0xE8 of Message ID 0x0200""],""14"":[""AVL ID 10"",""AVL ID 144""]}",2
"13346","secondary.engine.status","boolean","","[20]","Standby engine status","{""20"":[""Module 30""]}",1
"13347","segment.max.engine.load.level","number","percentage","[24]","Maximum engine load percentage on segment","{""24"":[""Data field %EL""]}",1
"13348","segment.max.position.speed","number","km/h","[24]","Maximum speed on segment","{""24"":[""Data field %SM""]}",1
"13349","segment.max.throttle.pedal.level","number","percentage","[24]","Maximum throttle pedal push level on segment","{""24"":[""Data field %TR""]}",1
"13350","segment.valid.position.count","number","","[17]","Quantity of valid coordinates used to calulate mileage on the segment","{}",1
"13351","sensor.battery.dead.status","boolean","","[20]","Sensor battery dead status, true - battery is dead, false - battely is recovered","{""20"":[""Module 28""]}",1
"13352","sensor.battery.level","number","percentage","[20]","External sensor battery level","{""20"":[""Module 28""]}",1
"13353","sensor.battery.level.additional","number","percentage","[20]","MultiSense battery level, received in additional information module","{""20"":[""Module 44""]}",1
"13354","sensor.battery.low.status","boolean","","[20,603]","Sensor battery status, true - battery low, false - battery ok","{""20"":[""Module 28""]}",2
"13355","sensor.battery.voltage","number","volts","[20,603]","Sensor battery voltage","{""20"":[""Module 28""]}",2
"13356","sensor.connected.status","boolean","","[20]","Sensor connected status, true - connected, false - not connected","{""20"":[""Module 28""]}",1
"13357","sensor.door.status","boolean","","[20,33,476]","Door opening status detected by sensor: true - opened, false - closed","{""20"":[""Module 28""],""33"":[""Report GTERI""],""476"":[""Protocol Number 0x94 with Information Type 0x05""]}",3
"13358","sensor.error.code","number","","[20]","Sensor problem code","{""20"":[""Module 28""]}",1
"13359","sensor.group.id","number","","[20]","Sensor group ID","{""20"":[""Module 28""]}",1
"13360","sensor.humidity.additional","number","percentage","[20]","Last measured humidity by the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13361","sensor.humidity.alert","boolean","","[20]","Sensor humidity alert","{""20"":[""Module 28""]}",1
"13362","sensor.humidity.limit.max","number","percentage","[417,513]","Humidity sensor limit (max)","{""417"":[""Extension ID 0xF6 of Message ID 0x0200""],""513"":[""Extension ID 0xF6 of Message ID 0x0200""]}",2
"13363","sensor.humidity.limit.min","number","percentage","[417,513]","Humidity sensor limit (min)","{""417"":[""Extension ID 0xF6 of Message ID 0x0200""],""513"":[""Extension ID 0xF6 of Message ID 0x0200""]}",2
"13364","sensor.illuminance.additional","number","lux","[20]","Last measured illuminance (light level) by the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13365","sensor.illuminance.limit.max","number","","[417,513]","Illuminance sensor limit (max)","{""417"":[""Extension ID 0xF6 of Message ID 0x0200""],""513"":[""Extension ID 0xF6 of Message ID 0x0200""]}",2
"13366","sensor.last.timestamp","number","seconds","[20]","Timestamp of the last communication with the sensor","{""20"":[""Module 28""]}",1
"13367","sensor.last.timestamp.additional","number","seconds","[20]","Timestamp of last communication from the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13368","sensor.mac.address","string","","[20,120]","External sensor MAC address","{""20"":[""Module 28""],""120"":[""Message Type 0x27""]}",2
"13369","sensor.mac.address.additional","string","","[20]","MultiSense MAC address, received in additional information module","{""20"":[""Module 44""]}",1
"13370","sensor.magnet.status.additional","boolean","","[20]","Last measured magnetic state by the specific MultiSense, received in additional information module: false - magnet not present, true - magten present","{""20"":[""Module 44""]}",1
"13371","sensor.package.status","boolean","","[20]","Package status read from external sensor: true - open, false - closed. Indexed parameter, measurement source is used as a parameter index","{""20"":[""Module 28""]}",1
"13372","sensor.package.status.additional","boolean","","[20]","Last detected package state by the specific MultiSense, received in additional information module: false - close, true - open","{""20"":[""Module 44""]}",1
"13373","sensor.paired.status","boolean","","[20]","Sensor paired status: true - paired, false - unpaired","{""20"":[""Module 28""]}",1
"13374","sensor.power.on.status","boolean","","[20]","Sonser power on status, true - sensor power-up, false - sensor power-down by button","{""20"":[""Module 28""]}",1
"13375","sensor.reading.age","number","seconds","[20]","Time elapsed from last sensor value reception","{""20"":[""Module 28""]}",1
"13376","sensor.readings","array","","[20]","MiltiSense measurement readings: array of JSON objects with 'value' and 'timestamp' files","{}",1
"13377","sensor.readings.type","number","","[20]","MiltiSense measurement readings type: 1 - temperature readings, 2 -humidity readings","{""20"":[""Module 40""]}",1
"13378","sensor.report.reason","number","","[20]","Sensor transmission reason code","{""20"":[""Module 28""]}",1
"13379","sensor.rssi","number","dBm","[20]","Sensor RSSI","{""20"":[""Module 28""]}",1
"13380","sensor.rssi.additional","number","dBm","[20]","MultiSense BLE signal RSSI, received in additional information module","{""20"":[""Module 44""]}",1
"13381","sensor.state","number","","[23]","Sensor state code: 0 - sensor error, 1 - temperature is valid, 2 - temperature is below valid range, 3 - temperature is above valid range","{""23"":[""Parameter #TS1#"",""Parameter #TS2#"",""Parameter #TS3#"",""Parameter #TS4#""]}",1
"13382","sensor.status","boolean","","[30]","Sensor status: true - normal, false - abnormal","{}",1
"13383","sensor.temperature.additional","number","celsius","[20]","Last measured temperature by the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13384","sensor.temperature.alarm","boolean","","[235]","Sensor temperature value is out of predefined ranges","{}",1
"13385","sensor.temperature.alert","boolean","","[20]","Sensor temperature alert","{""20"":[""Module 28""]}",1
"13386","sensor.temperature.error.code","string","","[14]","Temperature sensor error description","{""14"":[""AVL ID 72...75""]}",1
"13387","sensor.temperature.id","number","","[16]","ID of temperature sensor","{""16"":[""Extended Tag 0x86...0x8D""]}",1
"13388","sensor.temperature.limit.max","number","celsius","[417,513]","Temperature sensor limit (max)","{""417"":[""Extension ID 0xF6 of Message ID 0x0200""],""513"":[""Extension ID 0xF6 of Message ID 0x0200""]}",2
"13389","sensor.temperature.limit.min","number","celsius","[417,513]","Temperature sensor limit (min)","{""417"":[""Extension ID 0xF6 of Message ID 0x0200""],""513"":[""Extension ID 0xF6 of Message ID 0x0200""]}",2
"13390","sensor.type.bitmask","number","","[20]","Sensor HW type bitmask","{""20"":[""Module 28""]}",1
"13391","sensor.x.acceleration","number","g","[20,553]","Acceleration sensor X-axis value","{""20"":[""Module 28""],""553"":[""Packet head RPT""]}",2
"13392","sensor.x.acceleration.additional","number","g","[20]","Last measured X acceleration by the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13393","sensor.y.acceleration","number","g","[20,553]","Acceleration sensor Y-axis value","{""20"":[""Module 28""],""553"":[""Packet head RPT""]}",2
"13394","sensor.y.acceleration.additional","number","g","[20]","Last measured Y acceleration by the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13395","sensor.z.acceleration","number","g","[20,553]","Acceleration sensor Z-axis value","{""20"":[""Module 28""],""553"":[""Packet head RPT""]}",2
"13396","sensor.z.acceleration.additional","number","g","[20]","Last measured Z acceleration by the specific MultiSense, received in additional information module","{""20"":[""Module 44""]}",1
"13397","sensor.zone","number","","[20]","Sensor zone number","{""20"":[""Module 28""]}",1
"13398","serial.port.source","number","","[20]","Serial Port Source","{""20"":[""Message Type 8""]}",1
"13399","server.connection.status","boolean","","[13,24]","Server connection status","{""13"":[""Protocol Number 0x36"",""Protocol Number 0x37"",""Protocol Number 0x38"",""Protocol Number 0x39""],""24"":[""Data field %CS""]}",2
"13400","service.d2hub.name","string","","[516]","D2Hub service name, retrieved from D2Hub","{""516"":[""iCAN_ID 20370""]}",1
"13401","service.d2hub.number","number","","[516]","D2Hub service number","{""516"":[""iCAN_ID 20371""]}",1
"13402","session.seqnum","number","","[437]","Iridium CDR Reference(Auto ID)","{""437"":[""Information Element 0x01""]}",1
"13403","session.state.enum","number","","[437]","Iridium session state","{""437"":[""Information Element 0x01""]}",1
"13404","session.timestamp","number","seconds","[437]","Iridium session duration","{""437"":[""Information Element 0x01""]}",1
"13405","severe.vehicle.collision.alarm","boolean","","[13]","Severe vehicle collision alarm","{""13"":[""Alarm driving id 0x27 of Message subtype 0x03 of Transparent message type 0xF0 of Message ID 0x0900""]}",1
"13406","shallow.sleep.time","number","minutes","[290]","The shallow sleep time during the sleep quality test period","{}",1
"13407","shock.alarm","boolean","","[511]","Shock alarm detected","{""511"":[""CMD ID 0x0003""]}",1
"13408","shock.event.min.time","number","seconds","[516]","Minimum time between two shock alert","{""516"":[""iCAN_ID 20386""]}",1
"13409","shock.threshold","number","g","[516]","Shock detection threshold value","{""516"":[""iCAN_ID 20279""]}",1
"13410","short.idling.duration","number","seconds","[20]","Short idling duration from 'Short idling TO' to end of idling session or until 'Long Idling TO'","{""20"":[""Module 60""]}",1
"13411","side.call.button","boolean","","[254]","Side call button alarm","{""254"":[""Command 0x01 with Key 0x02""]}",1
"13412","signal.name","string","","[234]","Signal name","{""234"":[""Report EV""]}",1
"13413","signal.state","boolean","","[234]","Current signal state","{""234"":[""Report EV""]}",1
"13414","signal.threshold","number","","[234]","Signal threshold exceed","{""234"":[""Report EV""]}",1
"13415","signal.value","number","","[234]","Current value of the variable associated with signal","{""234"":[""Report EV""]}",1
"13416","sim.card.error","boolean","","[410,608]","Sim card error, reading card error","{""608"":[""Addition data P""]}",2
"13417","sim.card.error.count","number","","[14]","Error counter for No Sim Card error","{""14"":[""AVL ID 13200""]}",1
"13418","sim.card.slot","number","","[16,194]","Currently used SIM card slot","{""16"":[""Extended Tag 0x93""]}",2
"13421","smartevo.serial.number","string","","[516]","SmartEVO serial number","{""516"":[""iCAN_ID 20334""]}",1
"13422","socket.connection.status","boolean","","[30]","Socket connection status","{}",1
"13423","sos.button.status","boolean","","[237]","Sos (emergency) button status: true - connected, false - disconnected (tampered)","{}",1
"13425","spare.lock.firmware.version","string","","[296]","Spare lock firmware version","{}",1
"13426","spare.lock.hardware.version","string","","[296]","Spare lock hardware version","{}",1
"13427","speed.alarm","boolean","","[511]","Speed alarm detected","{""511"":[""CMD ID 0x0003""]}",1
"13428","speed.handle","number","","[296]","Speed handle value","{}",1
"13429","speed.source","string","","[20]","Source of speed: gps or pulse frequency input","{""20"":[""Message Type 0"",""Module 41""]}",1
"13430","spi.flash.fault","boolean","","[410,608]","SpiFlash fault","{""608"":[""Addition data K""]}",2
"13431","spo2.rate","number","percentage","[254]","SPO2 rate","{""254"":[""Command 0x01 with Key 0x41"",""Command 0x01 with Key 0x64""]}",1
"13432","spo2.rate.trust.level","number","percentage","[254]","SPO2 rate trust level","{""254"":[""Command 0x01 with Key 0x41""]}",1
"13433","status.bitmask","number","","[413,552,776,850,865,919]","Status bitmask","{""413"":[""Content Status bit2 of Message Type 0x1041""],""552"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x67"",""Message ID 0x0200"",""Message ID 0x0801""],""776"":[""Message ID 0x0200""],""850"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x66"",""Additional info ID 0x67"",""Additional info ID 0x70"",""Message ID 0x0200"",""Message ID 0x0801""],""865"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x67"",""Additional info ID 0x70"",""Message ID 0x0200"",""Message ID 0x0801""],""919"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x67"",""Message ID 0x0200"",""Message ID 0x0801""]}",6
"13434","stealing.alarm","boolean","","[245]","Stealing alarm","{}",1
"13435","stealing.trigger","string","","[245]","Stealing trigger","{}",1
"13436","steel.string.connected.status","boolean","","[419]","Steel string inserted status","{""419"":[""Device status""]}",1
"13437","steel.string.cut.alarm","boolean","","[419]","Steel string cut alarm","{""419"":[""Device status""]}",1
"13438","storage.abnormal.enum","number","","[413,919]","Storage Abnormal Status","{""413"":[""Service Data Event Type 16 of Message Type 0x1051""],""919"":[""Additional info ID 0xEF""]}",2
"13439","storage.abnormal.enum.name","string","","[413]","Storage Abnormal Status Name","{""413"":[""Service Data Event Type 16 of Message Type 0x1051""]}",1
"13440","storage.name","string","","[413]","Storage Name","{""413"":[""Service Data Event Type 16 of Message Type 0x1051""]}",1
"13441","supersoco.battery.capacity","number","","[14]","SuperSoco battery capacity left","{""14"":[""AVL ID 858""]}",1
"13442","supersoco.battery.energy","number","","[14]","SuperSoco battery energy","{""14"":[""AVL ID 867""]}",1
"13443","supersoco.current.trip.range","number","","[14]","SuperSoco current trip range","{""14"":[""AVL ID 856""]}",1
"13444","supersoco.fw.version","number","","[14]","SuperSoco vehicle firmware version","{""14"":[""AVL ID 865""]}",1
"13445","supersoco.instrument.system.error","string","","[14]","SuperSoco instrument system error","{""14"":[""AVL ID 870""]}",1
"13446","supersoco.lock.status","boolean","","[14]","SuperSoco lock status","{""14"":[""AVL ID 864""]}",1
"13447","supersoco.moving.abnormal.status","boolean","","[14]","SuperSoco moving abnormal status","{""14"":[""AVL ID 862""]}",1
"13448","supersoco.power.status","boolean","","[14]","SuperSoco power status: true - ON, false - OFF","{""14"":[""AVL ID 855""]}",1
"13449","supersoco.power.system.error","string","","[14]","SuperSoco power system error","{""14"":[""AVL ID 868""]}",1
"13450","supersoco.powertrain.error","string","","[14]","SuperSoco power traing error","{""14"":[""AVL ID 869""]}",1
"13451","supersoco.range","number","","[14]","SuperSoco range","{""14"":[""AVL ID 863""]}",1
"13452","supersoco.temperature.high.status","boolean","","[14]","SuperSoco high temperature status","{""14"":[""AVL ID 860""]}",1
"13453","supersoco.total.range","number","","[14]","SuperSoco total range","{""14"":[""AVL ID 866""]}",1
"13454","supersoco.total.trip.range","number","","[14]","SuperSoco total trip range","{""14"":[""AVL ID 857""]}",1
"13455","supersoco.upload.time","number","","[14]","SuperSoco upload time","{""14"":[""AVL ID 861""]}",1
"13456","supersoco.voltage.low.status","boolean","","[14]","SuperSoco low voltage status","{""14"":[""AVL ID 859""]}",1
"13457","supervisor.version","string","","[319]","Supervisor version","{}",1
"13458","swipe.card.id","string","","[413]","Swipe Card ID or Number","{""413"":[""Service Data Event Type 22 of Message Type 0x1051""]}",1
"13459","swipe.card.status","boolean","","[413]","Swipe Card status, onboard/offboard or login/logout","{""413"":[""Service Data Event Type 22 of Message Type 0x1051""]}",1
"13460","swipe.card.technology","string","","[413]","Swipe Card technology","{""413"":[""Service Data Event Type 22 of Message Type 0x1051""]}",1
"13461","swipe.card.type","string","","[413]","Swipe Card type, Driver or Student","{""413"":[""Service Data Event Type 22 of Message Type 0x1051""]}",1
"13464","syslog.messages","array","","[412]","Array of syslog messages","{}",1
"13465","system.power.state","number","","[249]","System pover state","{""249"":[""EID 0x12B""]}",1
"13466","system.uptime","number","seconds","[249,870]","Total time the system has been awake","{""249"":[""EID 0x03A""],""870"":[""Module 41: Battery Usage Statistics""]}",2
"13467","system.wake.count","number","","[249,870]","Number of times the system has woken up from sleep","{""249"":[""EID 0x039""],""870"":[""Module 41: Battery Usage Statistics""]}",2
"13468","tacho.connection.error.status","boolean","","[17]","Tachograph connection error status","{}",1
"13469","tacho.data.source","string","","[14]","Tacho data source","{""14"":[""AVL ID 48""]}",1
"13470","tacho.driver.activity.enum","number","","[17]","Driver activity reported by tacho","{}",1
"13471","tacho.driver.daily.minimum.rest.duration","number","seconds","[5,14,553]","Tacho Driver Minimum Daily Rest duration","{""5"":[""Command ID 0x01 with IO ID 855"",""Command ID 0x44 with IO ID 855""],""14"":[""AVL ID 10524"",""AVL ID 10525""],""553"":[""Packet head RPT""]}",3
"13472","tacho.driver.daily.rest.end.timestamp","number","","[5,14,553]","Tacho Driver end of last daily rest report timestamp","{""5"":[""Command ID 0x01 with IO ID 871"",""Command ID 0x01 with IO ID 872"",""Command ID 0x44 with IO ID 871"",""Command ID 0x44 with IO ID 872""],""14"":[""AVL ID 10504"",""AVL ID 10511""],""553"":[""Packet head RPT""]}",3
"13473","tacho.driver.remaining.current.driving.duration","number","seconds","[14,553]","Tacho Driver remaining current driving time","{""14"":[""AVL ID 10532""],""553"":[""Packet head RPT""]}",2
"13474","tacho.driver.selected.activity.duration","number","seconds","[14,553]","Indexed Tacho parameter indicating current duration of the selected activity, since selected and which may be the current driving period, availability period, rest period or work period","{""14"":[""AVL ID 60...61""],""553"":[""Packet head RPT""]}",2
"13475","tacho.driver.time.before.warning","number","minutes","[14]","Tacho driver's hours rules pre warning time delay","{""14"":[""AVL ID 10501""]}",1
"13476","tacho.driver.weekly.minimum.rest.duration","number","seconds","[5,14,553]","Tacho Driver Minimum Weekly Rest duration","{""5"":[""Command ID 0x01 with IO ID 856"",""Command ID 0x44 with IO ID 856""],""14"":[""AVL ID 10526"",""AVL ID 10527""],""553"":[""Packet head RPT""]}",3
"13477","tacho.driver.weekly.rest.end.timestamp","number","","[14,553]","Tacho Driver end of last weekly rest period timestamp","{""14"":[""AVL ID 10505"",""AVL ID 10512""],""553"":[""Packet head RPT""]}",2
"13478","tacho.driver.weekly.second.rest.end.timestamp","number","","[14,553]","Tacho Driver end of second last weekly rest period timestamp","{""14"":[""AVL ID 10506"",""AVL ID 10513""],""553"":[""Packet head RPT""]}",2
"13479","tacho.engine.ignition.status","boolean","","[17]","Tachograph ignition state","{}",1
"13480","tacho.ferry.train.enum","number","","[17]","Tacho ferry/train status enum","{}",1
"13481","tacho.mode.enum","number","","[17]","Tachograph mode enum","{}",1
"13482","tacho.movement.status","boolean","","[14]","Movement status reported by tacho","{""14"":[""AVL ID 114""]}",1
"13483","tacho.na.enum","number","","[17]","Tacho ferry/train status enum","{}",1
"13484","tacho.next.calibration.timestamp","number","","[14]","Tacho next calibration timestamp","{""14"":[""AVL ID 10503""]}",1
"13485","tacho.overspeeding.status","boolean","","[14,120]","Overspeeding status reported by tacho","{""14"":[""AVL ID 117"",""AVL ID 186""],""120"":[""Message Type 0x62"",""Message Type 0x64""]}",2
"13486","tacho.performance","number","","[9,245,309,553,557]","Tachograph performance","{""9"":[""Command type CCE with Parameter ID 0x94"",""Command type CFF with Parameter ID 0x94""],""309"":[""Sensor ID 0x500E""],""553"":[""Packet head RPT""],""557"":[""$FMS3 message""]}",5
"13487","taillight.state.enum","number","","[13]","Taillight state: 0 - off, 1 - taillight, 2 - brake light","{""13"":[""Protocol Number 0x98""]}",1
"13488","tamper.alarm.state","string","","[14]","Tamper record event reason","{""14"":[""AVL ID 20019""]}",1
"13489","tamper.alarm.state.enum","number","","[14]","Tamper record event numeric reason","{""14"":[""AVL ID 20019""]}",1
"13490","tamper.button.status","boolean","","[13]","Tamper button status, false - installed, true - removed","{""13"":[""Protocol Number 0x70""]}",1
"13491","task.code","string","","[296]","Task code","{}",1
"13492","thermoking.accident.enum","number","","[16]","ThermoKing accident enum","{""16"":[""Tag 0x5B""]}",1
"13493","thermoking.electric.motorhours","number","hours","[16]","ThermoKing electric motorhours","{""16"":[""Tag 0x5B""]}",1
"13494","thermoking.engine.motorhours","number","hours","[16]","ThermoKing engine motorhours","{""16"":[""Tag 0x5B""]}",1
"13495","thermoking.total.motorhours","number","hours","[16]","ThermoKing total On motorhours","{""16"":[""Tag 0x5B""]}",1
"13496","threshold.exceeding.duration","number","seconds","[17]","EcoDriving. Threshould exceeding duration","{}",1
"13497","throttle.handle.fault.status","boolean","","[13]","Throttle handle fault status","{""13"":[""Protocol Number 0x98""]}",1
"13498","tilt.angle","number","degrees","[24,33]","Tilt angle","{""24"":[""Data field %TL""],""33"":[""Data ID 270""]}",2
"13499","time.after.crash","number","seconds","[20]","Number of complete GPS seconds after crash","{""20"":[""Module 35""]}",1
"13500","time.before.crash","number","seconds","[20]","Number of complete GPS seconds before crash","{""20"":[""Module 35""]}",1
"13501","timestamp.increment","number","seconds","[17]","Time increment relative to the previous record","{}",1
"13502","timestamp.sync.status","boolean","","[17]","Clock is synchronized with GPS","{}",1
"13503","tire","string","","[319,553]","Axle and tire index","{""319"":[""Packet item number 121""],""553"":[""Packet head RPT""]}",2
"13504","tire.cross.axle.fault.status","boolean","","[319]","Tire cross axle fault","{""319"":[""Packet item number 121""]}",1
